IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_AMR_GLASS_AWARE,RATE_PER_100_N
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,56,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Belgium,ACCESS,62.9081
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,112,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Belarus,ACCESS,56.8771
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,191,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Croatia,ACCESS,65.4387
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,196,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Cyprus,ACCESS,47.7648
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,204,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Benin,ACCESS,78.7391
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,208,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Denmark,ACCESS,79.8425
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,233,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Estonia,ACCESS,59.4962
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,246,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Finland,ACCESS,78.0468
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,250,COUNTRY,PUBLISHED,Antibiotic consumption pattern,France,ACCESS,70.5761
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,268,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Georgia,ACCESS,60.0119
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,276,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Germany,ACCESS,52.0285
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,348,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Hungary,ACCESS,48.1348
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,352,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Iceland,ACCESS,84.6835
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,372,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Ireland,ACCESS,64.6167
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,380,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Italy,ACCESS,48.1911
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,428,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Latvia,ACCESS,69.8216
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,440,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Lithuania,ACCESS,71.0299
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,470,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Malta,ACCESS,46.4568
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,499,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Montenegro,ACCESS,58.337
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2016,YEAR,524,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Nepal,ACCESS,32.1934
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,40,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Austria,ACCESS,61.3828
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,50,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Bangladesh,ACCESS,40.74
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,51,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Armenia,ACCESS,47.2978
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,56,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Belgium,ACCESS,67.484
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,64,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Bhutan,ACCESS,87.7973
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,112,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Belarus,ACCESS,46.9566
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,170,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Colombia,ACCESS,68.2194
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,191,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Croatia,ACCESS,61.7031
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,196,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Cyprus,ACCESS,44.329
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,203,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Czechia,ACCESS,62.193
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,204,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Benin,ACCESS,75.3251
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,208,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Denmark,ACCESS,81.4148
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,231,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Ethiopia,ACCESS,66.1732
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,233,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Estonia,ACCESS,61.336
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,246,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Finland,ACCESS,76.6144
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,250,COUNTRY,PUBLISHED,Antibiotic consumption pattern,France,ACCESS,70.9388
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,266,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Gabon,ACCESS,80.9667
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,268,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Georgia,ACCESS,52.6322
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,276,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Germany,ACCESS,63.8943
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,348,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Hungary,ACCESS,51.249
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2022,YEAR,800,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Uganda,ACCESS,55.5389
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2022,YEAR,804,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Ukraine,ACCESS,39.7036
