IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100_N
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,001,GLOBAL,PUBLISHED,MRSA infections,World,23.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,032,COUNTRY,PUBLISHED,MRSA infections,Argentina,42.5
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,040,COUNTRY,PUBLISHED,MRSA infections,Austria,6.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,048,COUNTRY,PUBLISHED,MRSA infections,Bahrain,35.5
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,070,COUNTRY,PUBLISHED,MRSA infections,Bosnia and Herzegovina,16.3
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,076,COUNTRY,PUBLISHED,MRSA infections,Brazil,11.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,104,COUNTRY,PUBLISHED,MRSA infections,Myanmar,74.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,116,COUNTRY,PUBLISHED,MRSA infections,Cambodia,48.8
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,191,COUNTRY,PUBLISHED,MRSA infections,Croatia,26.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,196,COUNTRY,PUBLISHED,MRSA infections,Cyprus,40.2
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,203,COUNTRY,PUBLISHED,MRSA infections,Czechia,13.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,246,COUNTRY,PUBLISHED,MRSA infections,Finland,2.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,250,COUNTRY,PUBLISHED,MRSA infections,France,12.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,268,COUNTRY,PUBLISHED,MRSA infections,Georgia,11.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,276,COUNTRY,PUBLISHED,MRSA infections,Germany,7.6
