IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100_N
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,764,COUNTRY,PUBLISHED,E.coli infections,Thailand,40.29
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,788,COUNTRY,PUBLISHED,E.coli infections,Tunisia,25.46
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,807,COUNTRY,PUBLISHED,E.coli infections,North Macedonia,73.44
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2016,YEAR,894,COUNTRY,PUBLISHED,E.coli infections,Zambia,61.9
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,001,GLOBAL,PUBLISHED,E.coli infections,World,29.1
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,032,COUNTRY,PUBLISHED,E.coli infections,Argentina,18.4
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,040,COUNTRY,PUBLISHED,E.coli infections,Austria,9.6
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,048,COUNTRY,PUBLISHED,E.coli infections,Bahrain,50.0
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,070,COUNTRY,PUBLISHED,E.coli infections,Bosnia and Herzegovina,24.9
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,191,COUNTRY,PUBLISHED,E.coli infections,Croatia,16.5
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,196,COUNTRY,PUBLISHED,E.coli infections,Cyprus,30.8
